article1,article2,similarity
001.txt,002.txt,0.1554668587473634
001.txt,003.txt,0.0568100143768152
001.txt,004.txt,0.1101011321953744
001.txt,005.txt,0.0397065208703016
001.txt,006.txt,0.0294748643212911
001.txt,007.txt,0.2708914445381937
001.txt,008.txt,0.0365375123365417
001.txt,009.txt,0.0279826200195203
001.txt,010.txt,0.0974597610678151
001.txt,011.txt,0.0981600749307361
001.txt,012.txt,0.0959242313898033
001.txt,013.txt,0.190218038074294
001.txt,014.txt,0.076265687982763
001.txt,015.txt,0.0807991376916259
001.txt,016.txt,0.0309204595606378
001.txt,017.txt,0.0404448250917489
001.txt,018.txt,0.0314359235499816
001.txt,019.txt,0.0413533745825423
001.txt,020.txt,0.0452253571851623
001.txt,021.txt,0.1047466315682037
001.txt,022.txt,0.0213934518399451
001.txt,023.txt,0.0472758328670761
001.txt,024.txt,0.0330521186054401
001.txt,025.txt,0.0509944619847116
001.txt,026.txt,0.0748542636728788
001.txt,027.txt,0.0313526092291532
001.txt,028.txt,0.118280668655121
001.txt,029.txt,0.0574454029366022
001.txt,030.txt,0.0570426979793698
001.txt,031.txt,0.0225407177089059
001.txt,032.txt,0.0684678862971342
001.txt,033.txt,0.0170635008192896
001.txt,034.txt,0.0574604441660006
001.txt,035.txt,0.0314164039637426
001.txt,036.txt,0.0213478608609645
001.txt,037.txt,0.0182099196284084
001.txt,038.txt,0.0309101003209779
001.txt,039.txt,0.0240249161405208
001.txt,040.txt,0.0082465325615431
001.txt,041.txt,0.0320995713022691
001.txt,042.txt,0.0182555092890816
001.txt,043.txt,0.097918224964707
001.txt,044.txt,0.0366595824632046
001.txt,045.txt,0.079407111772482
001.txt,046.txt,0.0264962673900653
001.txt,047.txt,0.024460184226136
001.txt,048.txt,0.0644449722452788
001.txt,049.txt,0.0048664100286279
001.txt,050.txt,0.086210666666206
001.txt,051.txt,0.0462182431368017
001.txt,052.txt,0.0731075713546007
001.txt,053.txt,0.0457627887595222
001.txt,054.txt,0.0631554020735452
001.txt,055.txt,0.0235117609846947
001.txt,056.txt,0.0654929516395821
001.txt,057.txt,0.0678331845203397
001.txt,058.txt,0.108857783556013
001.txt,059.txt,0.0241676223804072
001.txt,060.txt,0.0266118627475805
001.txt,061.txt,0.0571707198902047
001.txt,062.txt,0.0261116219661478
001.txt,063.txt,0.0579933348598446
001.txt,064.txt,0.1105740522220202
001.txt,065.txt,0.0602438005162246
001.txt,066.txt,0.0252564629773473
001.txt,067.txt,0.0336493026015172
001.txt,068.txt,0.0224666885010263
001.txt,069.txt,0.1013445123047436
001.txt,070.txt,0.010312455194671
001.txt,071.txt,0.0328858356037719
001.txt,072.txt,0.0288353293983721
001.txt,073.txt,0.0323866001302017
001.txt,074.txt,0.0256567746338268
001.txt,075.txt,0.0559769715282538
001.txt,076.txt,0.0264601454532968
001.txt,077.txt,0.0538132123503758
001.txt,078.txt,0.0206871307641579
001.txt,079.txt,0.0092348388090418
001.txt,080.txt,0.0383519236937799
001.txt,081.txt,0.0698212585449054
001.txt,082.txt,0.0445978711752896
001.txt,083.txt,0.0260764757704911
001.txt,084.txt,0.0321491654550481
001.txt,085.txt,0.0617651054031139
001.txt,086.txt,0.0791325489418709
001.txt,087.txt,0.0481960984035758
001.txt,088.txt,0.0481960984035758
001.txt,089.txt,0.0282962082901044
001.txt,090.txt,0.1638923785224522
001.txt,091.txt,0.0293304918284303
001.txt,092.txt,0.0791272093329144
001.txt,093.txt,0.0111402984328823
001.txt,094.txt,0.0949296809663002
001.txt,095.txt,0.0606701294560889
001.txt,096.txt,0.0264351452665542
001.txt,097.txt,0.024109679230702
001.txt,098.txt,0.0495134247546014
001.txt,099.txt,0.0826804492282598
001.txt,100.txt,0.029677250603404
001.txt,101.txt,0.0343139520729627
001.txt,102.txt,0.0252305229575166
001.txt,103.txt,0.0484511312429722
001.txt,104.txt,0.0957836791673547
001.txt,105.txt,0.0248924934663273
001.txt,106.txt,0.0943378578659906
001.txt,107.txt,0.0219252261233967
001.txt,108.txt,0.0197812417206232
001.txt,109.txt,0.0078055690460458
001.txt,110.txt,0.0163609763698278
001.txt,111.txt,0.0758097906725892
001.txt,112.txt,0.0257616462839073
001.txt,113.txt,0.0223909899675499
001.txt,114.txt,0.0615831411324041
001.txt,115.txt,0.0562010206052722
001.txt,116.txt,0.0288865964914364
001.txt,117.txt,0.0130762656431956
001.txt,118.txt,0.0773441855273385
001.txt,119.txt,0.0365608128210414
001.txt,120.txt,0.0409227035471738
001.txt,121.txt,0.0397840421995524
001.txt,122.txt,0.1053711748294841
001.txt,123.txt,0.0656024962164876
001.txt,124.txt,0.0471969492415095
001.txt,125.txt,0.0697005104382375
001.txt,126.txt,0.0302111582785311
001.txt,127.txt,0.0275608544950892
001.txt,128.txt,0.0481584179485575
001.txt,129.txt,0.0585409700708034
001.txt,130.txt,0.0611356601823053
001.txt,131.txt,0.0564012418312016
001.txt,132.txt,0.0287279965340693
001.txt,133.txt,0.0430277688049792
001.txt,134.txt,0.0248861679301821
001.txt,135.txt,0.0293460652501622
001.txt,136.txt,0.013476603196506
001.txt,137.txt,0.074601990680027
001.txt,138.txt,0.0284147446740292
001.txt,139.txt,0.028755201944124
001.txt,140.txt,0.0171567946790378
001.txt,141.txt,0.0731418441742706
001.txt,142.txt,0.0627264415172229
001.txt,143.txt,0.0314077338491165
001.txt,144.txt,0.0700518833613533
001.txt,145.txt,0.0379653759897404
001.txt,146.txt,0.2621779227305001
001.txt,147.txt,0.0353831238118842
001.txt,148.txt,0.0254263586192477
001.txt,149.txt,0.0475399064887498
001.txt,150.txt,0.0227970700952789
001.txt,151.txt,0.0601710425530767
001.txt,152.txt,0.066318657898971
001.txt,153.txt,0.0790303284882056
001.txt,154.txt,0.0699982590975068
001.txt,155.txt,0.1108555483978145
001.txt,156.txt,0.0341681686723349
001.txt,157.txt,0.0363393785889143
001.txt,158.txt,0.1154709382131255
001.txt,159.txt,0.033902840720924
001.txt,160.txt,0.0285291654130423
001.txt,161.txt,0.1154709382131255
001.txt,162.txt,0.0629179612671038
001.txt,163.txt,0.0289004124825232
001.txt,164.txt,0.0289004124825232
001.txt,165.txt,0.0631652140523582
001.txt,166.txt,0.0271431896589152
001.txt,167.txt,0.0373177362474683
001.txt,168.txt,0.0293321182351314
001.txt,169.txt,0.0470846678460462
001.txt,170.txt,0.0235016396634763
001.txt,171.txt,0.0373626326654779
001.txt,172.txt,0.038244450896206
001.txt,173.txt,0.0453620873335734
001.txt,174.txt,0.1010775247256729
001.txt,175.txt,0.0869033519061172
001.txt,176.txt,0.033389948709731
001.txt,177.txt,0.0332360819703779
001.txt,178.txt,0.0204319487648817
001.txt,179.txt,0.0325826867426611
001.txt,180.txt,0.030228204704277
001.txt,181.txt,0.0174411088247864
001.txt,182.txt,0.0209271771070577
001.txt,183.txt,0.0154672716898695
001.txt,184.txt,0.055138911320507
001.txt,185.txt,0.0163726694428514
001.txt,186.txt,0.0435798906623827
001.txt,187.txt,0.0303392329766826
001.txt,188.txt,0.0867359148834294
001.txt,189.txt,0.117390618852845
001.txt,190.txt,0.0629905851698438
001.txt,191.txt,0.0450995755065677
001.txt,192.txt,0.041962006036758
001.txt,193.txt,0.0154802930982951
001.txt,194.txt,0.1096181399790521
001.txt,195.txt,0.0100080844134505
001.txt,196.txt,0.0375599408960732
001.txt,197.txt,0.0136838248147538
001.txt,198.txt,0.0759631475187548
001.txt,199.txt,0.0534909765604713
001.txt,200.txt,0.0954751469949205
001.txt,201.txt,0.0437839400110176
001.txt,202.txt,0.0887016252726708
001.txt,203.txt,0.0247641297418392
001.txt,204.txt,0.0394101787743471
001.txt,205.txt,0.1182208672287441
001.txt,206.txt,0.0754526429708753
001.txt,207.txt,0.1188266492936704
001.txt,208.txt,0.0812013540565935
001.txt,209.txt,0.1055524832047685
001.txt,210.txt,0.0568100143768152
001.txt,211.txt,0.0805020244497615
001.txt,212.txt,0.0656363736881386
001.txt,213.txt,0.0550368164992311
001.txt,214.txt,0.073534950593051
001.txt,215.txt,0.0864920348179197
001.txt,216.txt,0.0709870224068777
001.txt,217.txt,0.0116332195285606
001.txt,218.txt,0.0307425209530839
001.txt,219.txt,0.0486667486016176
001.txt,220.txt,0.0184463870024058
001.txt,221.txt,0.0589257227410692
001.txt,222.txt,0.0700220389021742
001.txt,223.txt,0.0543148950696592
001.txt,224.txt,0.0833793305106324
001.txt,225.txt,0.0151201135916145
001.txt,226.txt,0.0460363392296152
001.txt,227.txt,0.0507998148449935
001.txt,228.txt,0.1130514893484325
001.txt,229.txt,0.0443304569495615
001.txt,230.txt,0.0186470410546773
001.txt,231.txt,0.0266255008024678
001.txt,232.txt,0.0678688485514153
001.txt,233.txt,0.1140023342501348
001.txt,234.txt,0.0593220785155603
001.txt,235.txt,0.054073039816845
001.txt,236.txt,0.1033625646137337
001.txt,237.txt,0.0420130860171688
001.txt,238.txt,0.0555506616473954
001.txt,239.txt,0.0252407888561689
001.txt,240.txt,0.0253004740175059
001.txt,241.txt,0.027634760076045
001.txt,242.txt,0.0438918637766372
001.txt,243.txt,0.0626447640976082
001.txt,244.txt,0.0179314493257414
001.txt,245.txt,0.0848662211942567
001.txt,246.txt,0.053686402612247
001.txt,247.txt,0.0870941488388482
001.txt,248.txt,0.0129761369078911
001.txt,249.txt,0.0704476848703269
001.txt,250.txt,0.0425111343301949
001.txt,251.txt,0.0425565484747291
001.txt,252.txt,0.0333533611259289
001.txt,253.txt,0.0738590926128354
001.txt,254.txt,0.0422368032385052
001.txt,255.txt,0.0716648168783974
001.txt,256.txt,0.0218367555065213
